Data,Tempo,Polveri Grosse,Polveri Fine
2021-05-07 00:00:49.092,0 days 00:00:49,0,0
2021-05-07 00:01:55.076,0 days 00:01:55,0,35
2021-05-07 00:03:01.089,0 days 00:03:01,0,0
2021-05-07 00:04:07.063,0 days 00:04:07,0,0
2021-05-07 00:05:14.061,0 days 00:05:14,0,0
2021-05-07 00:06:19.066,0 days 00:06:19,0,35
2021-05-07 00:07:25.092,0 days 00:07:25,0,0
2021-05-07 00:08:31.065,0 days 00:08:31,0,0
2021-05-07 00:09:37.015,0 days 00:09:37,0,0
2021-05-07 00:10:43.056,0 days 00:10:43,0,35
2021-05-07 00:11:49.027,0 days 00:11:49,0,0
2021-05-07 00:12:55.052,0 days 00:12:55,0,0
2021-05-07 00:14:01.014,0 days 00:14:01,0,0
2021-05-07 00:15:07.050,0 days 00:15:07,0,0
2021-05-07 00:16:13.070,0 days 00:16:13,0,0
2021-05-07 00:17:19.040,0 days 00:17:19,0,0
2021-05-07 00:18:25.010,0 days 00:18:25,0,0
2021-05-07 00:19:31.049,0 days 00:19:31,0,0
2021-05-07 00:20:37.010,0 days 00:20:37,0,0
2021-05-07 00:21:42.070,0 days 00:21:42,0,0
2021-05-07 00:22:49.014,0 days 00:22:49,0,0
2021-05-07 00:23:54.087,0 days 00:23:54,0,0
2021-05-07 00:25:01.008,0 days 00:25:01,0,0
2021-05-07 00:26:06.089,0 days 00:26:06,0,0
2021-05-07 00:27:13.031,0 days 00:27:13,0,0
2021-05-07 00:28:18.085,0 days 00:28:18,0,0
2021-05-07 00:29:24.055,0 days 00:29:24,0,0
2021-05-07 00:30:30.099,0 days 00:30:30,0,0
2021-05-07 00:31:36.056,0 days 00:31:36,0,0
2021-05-07 00:32:42.034,0 days 00:32:42,0,0
2021-05-07 00:33:48.073,0 days 00:33:48,0,0
2021-05-07 00:34:54.061,0 days 00:34:54,0,0
2021-05-07 00:36:00.045,0 days 00:36:00,0,0
2021-05-07 00:37:06.033,0 days 00:37:06,0,0
2021-05-07 00:38:12.084,0 days 00:38:12,0,0
2021-05-07 00:39:17.096,0 days 00:39:17,0,0
2021-05-07 00:40:23.086,0 days 00:40:23,0,0
2021-05-07 00:41:30.041,0 days 00:41:30,0,0
2021-05-07 00:42:36.023,0 days 00:42:36,0,0
2021-05-07 00:43:42.006,0 days 00:43:42,0,0
2021-05-07 00:44:47.097,0 days 00:44:47,0,0
2021-05-07 00:45:54.007,0 days 00:45:54,0,0
2021-05-07 00:46:59.096,0 days 00:46:59,0,0
2021-05-07 00:48:06.020,0 days 00:48:06,0,0
2021-05-07 00:49:12.054,0 days 00:49:12,0,0
2021-05-07 00:50:18.017,0 days 00:50:18,0,0
2021-05-07 00:51:23.045,0 days 00:51:23,0,0
2021-05-07 00:52:29.063,0 days 00:52:29,0,0
2021-05-07 00:53:35.058,0 days 00:53:35,0,0
2021-05-07 00:54:41.056,0 days 00:54:41,0,0
2021-05-07 00:55:47.056,0 days 00:55:47,0,0
2021-05-07 00:56:53.066,0 days 00:56:53,0,0
2021-05-07 00:57:59.070,0 days 00:57:59,0,0
2021-05-07 00:59:05.074,0 days 00:59:05,0,0
2021-05-07 01:00:12.001,0 days 01:00:12,0,0
2021-05-07 01:01:17.017,0 days 01:01:17,0,0
2021-05-07 01:02:23.018,0 days 01:02:23,0,35
2021-05-07 01:03:29.013,0 days 01:03:29,0,0
2021-05-07 01:04:35.009,0 days 01:04:35,0,35
2021-05-07 01:05:41.003,0 days 01:05:41,0,35
2021-05-07 01:06:47.010,0 days 01:06:47,0,0
2021-05-07 01:07:53.021,0 days 01:07:53,0,0
2021-05-07 01:08:59.008,0 days 01:08:59,0,0
2021-05-07 01:10:05.017,0 days 01:10:05,0,0
2021-05-07 01:11:12.006,0 days 01:11:12,0,0
2021-05-07 01:12:16.068,0 days 01:12:16,0,0
2021-05-07 01:13:22.059,0 days 01:13:22,0,0
2021-05-07 01:14:28.066,0 days 01:14:28,0,0
2021-05-07 01:15:34.059,0 days 01:15:34,0,0
2021-05-07 01:16:40.048,0 days 01:16:40,0,0
2021-05-07 01:17:46.046,0 days 01:17:46,0,0
2021-05-07 01:18:52.035,0 days 01:18:52,0,0
2021-05-07 01:19:58.043,0 days 01:19:58,0,0
2021-05-07 01:21:04.040,0 days 01:21:04,0,0
2021-05-07 01:22:11.015,0 days 01:22:11,0,0
2021-05-07 01:23:16.038,0 days 01:23:16,0,0
2021-05-07 01:24:22.041,0 days 01:24:22,0,35
2021-05-07 01:25:28.017,0 days 01:25:28,0,0
2021-05-07 01:26:34.023,0 days 01:26:34,0,0
2021-05-07 01:27:40.010,0 days 01:27:40,0,0
2021-05-07 01:28:46.008,0 days 01:28:46,0,0
2021-05-07 01:29:52.023,0 days 01:29:52,0,0
2021-05-07 01:30:58.012,0 days 01:30:58,0,0
2021-05-07 01:32:04.027,0 days 01:32:04,0,0
2021-05-07 01:33:11.015,0 days 01:33:11,0,0
2021-05-07 01:34:15.088,0 days 01:34:15,0,0
2021-05-07 01:35:21.072,0 days 01:35:21,0,0
2021-05-07 01:36:27.096,0 days 01:36:27,0,35
2021-05-07 01:37:33.078,0 days 01:37:33,0,0
2021-05-07 01:38:39.082,0 days 01:38:39,0,0
2021-05-07 01:39:45.078,0 days 01:39:45,0,0
2021-05-07 01:40:51.075,0 days 01:40:51,0,35
2021-05-07 01:41:57.080,0 days 01:41:57,0,0
2021-05-07 01:43:03.082,0 days 01:43:03,0,0
2021-05-07 01:44:10.019,0 days 01:44:10,0,0
2021-05-07 01:45:15.082,0 days 01:45:15,0,0
2021-05-07 01:46:21.069,0 days 01:46:21,0,0
2021-05-07 01:47:27.068,0 days 01:47:27,0,0
2021-05-07 01:48:33.071,0 days 01:48:33,0,0
2021-05-07 01:49:39.068,0 days 01:49:39,0,0
2021-05-07 01:50:45.064,0 days 01:50:45,0,0
2021-05-07 01:51:50.093,0 days 01:51:50,0,0
2021-05-07 01:52:57.052,0 days 01:52:57,0,0
